"DEFAULT","GENDER","AGE","CITIZEN","PART","INCOME","BALANCE"
"No","Male",42,"GE","No",44361.63,729.53
"No","Male",38,"FR","Yes",12106.13,817.18
"No","Male",39,"FR","No",35704.49,529.25
"No","Male",46,"GE","No",37468.53,1161.06
"No","Female",38,"IT","No",29275.27,5
"No","Male",36,"SP","No",28251.7,237.05
"No","Female",44,"HO","No",45042.41,286.23
"No","Male",41,"GE","No",32457.51,954.26
"No","Female",44,"GE","No",30466.1,641.98
"No","Male",50,"FR","No",30466.1,641.98
"No","Female",44,"GE","No",25211.33,855.01
"No","Female",38,"FR","No",41473.51,643
"No","Male",47,"GR","Yes",15799.47,448.88
"No","Male",41,"IT","No",47806.61,692.03
"No","Male",38,"GE","No",35087.49,351.45
"No","Female",47,"SP","No",50066.68,1238.61
"No","Male",39,"GE","No",50066.68,1238.61
"No","Female",42,"IT","No",49956.58,5
"No","Female",37,"FR","No",38363.42,866.03
"No","Male",36,"GR","No",51311.22,429.49
"No","Male",47,"GE","No",28392.09,76.99
"No","Male",38,"UK","No",60397.72,510.24
"No","Male",38,"IT","Yes",11905.68,893.33
"No","Female",38,"GE","No",44495.16,1332.78
"No","Male",41,"UK","No",45950.67,449.47
"No","Male",39,"GE","No",47193.89,243.84
"No","Male",38,"UK","Yes",19311.42,1722.36
"No","Male",35,"UK","Yes",20498.67,810.32
"No","Female",44,"UK","No",32850.12,271.55
"No","Male",39,"IT","No",32850.12,271.55
"No","Male",44,"GE","No",49101.8,1373.45
"No","Male",42,"SP","No",49101.8,1373.45
"No","Male",43,"FR","No",53639.85,1216.45
"Yes","Male",42,"UK","Yes",17854.4,1487
"No","Male",43,"HO","Yes",20883.24,996.28
"No","Male",49,"GR","No",44455.2,350.09
"No","Male",36,"GR","No",54607.18,836.3
"Yes","Male",31,"GE","Yes",14271.49,2205.8
"No","Male",53,"UK","Yes",22473.38,927.89
"No","Male",45,"FR","No",53471.21,410.5
"No","Male",34,"FR","No",37255.88,479.04
"No","Female",36,"GE","No",28899.79,888.61
"No","Male",43,"PO","Yes",23341.95,712.28
"No","Male",44,"GE","Yes",18078.35,706.16
"Yes","Male",35,"UK","Yes",20359.51,1774.69
"No","Female",42,"FR","No",47339.11,110.57
"Yes","Male",36,"UK","No",48956.17,1889.6
"No","Male",43,"FR","No",21051.84,27.2
"Yes","Female",31,"IT","Yes",20655.2,1899.39
"No","Male",41,"GR","Yes",20391.53,813.99
"No","Male",40,"FR","No",38899.16,499.46
"No","Male",39,"GR","No",38899.16,499.46
"No","Female",45,"GR","No",32064.34,474.73
"No","Male",36,"IT","No",37657.06,256.47
"No","Male",44,"FR","No",24780.96,504.03
"No","Male",48,"SP","No",55713.04,1363.53
"No","Male",37,"HO","No",50513.16,552.63
"No","Female",38,"FR","No",37767.24,338.27
"No","Female",38,"FR","No",15702.71,371.01
"No","Male",40,"HO","No",15702.71,371.01
"Yes","Male",36,"FR","Yes",14930.18,1572.86
"Yes","Male",36,"GR","No",39054.59,1964.48
"No","Male",41,"FR","Yes",19676.35,957.68
"No","Male",39,"IT","No",43326.11,233.52
"No","Male",42,"IT","Yes",14298.26,1126.95
"No","Male",38,"UK","No",44323.58,767.9
"Yes","Male",37,"FR","No",30003.82,1530.35
"No","Male",41,"GR","No",49394.34,528.25
"No","Female",36,"GE","No",48195.78,456.52
"No","Female",45,"FR","Yes",18052.1,470.72
"No","Female",41,"GE","Yes",18052.1,470.72
"No","Female",42,"GE","No",44217.92,1362.97
"No","Male",40,"GE","No",45032.85,908.77
"No","Female",39,"GE","No",47835.09,369.22
"No","Male",38,"PO","No",32974.43,817.47
"No","Female",36,"GR","Yes",19702.29,1549.04
"No","Male",38,"GE","Yes",11853.95,566.71
"No","Female",38,"GE","No",42844.83,862.66
"No","Female",38,"GE","Yes",14793.74,703.28
"No","Male",48,"DE","No",44054.92,910.45
"No","Male",37,"FR","No",58514.32,353.78
"No","Male",40,"FR","Yes",19263.77,1087.08
"No","Male",43,"HO","Yes",15904.06,402.49
"No","Female",41,"GE","No",17534.29,204.74
"No","Female",33,"FR","No",35917.49,838.28
"No","Female",44,"IT","No",35917.49,838.28
"No","Male",44,"FR","No",44694.03,386.02
"No","Female",35,"IT","Yes",24688.47,1328.18
"No","Female",38,"GR","No",44406.84,1027.77
"No","Male",35,"GE","No",35042.13,729.05
"No","Male",33,"GE","No",25867.15,1042.8
"No","Female",40,"GE","No",37875.61,230.23
"No","Male",50,"GE","No",37875.61,230.23
"No","Male",41,"PO","No",30611.27,367.47
"No","Male",40,"UK","No",40907.4,455.52
"No","Male",40,"UK","No",32363.37,1222.35
"Yes","Male",43,"IT","No",46856.95,1642.82
"No","Male",42,"GE","No",31231.01,370.38
"Yes","Male",31,"DE","No",42133.37,1991.65
"No","Male",49,"FR","No",50260.46,1060.72
"Yes","Female",41,"IT","No",56273.51,1550.45
"No","Male",41,"GE","Yes",17784.56,1256.24
"No","Male",39,"GE","Yes",12661.61,1050.48
"No","Male",34,"UK","No",47038.09,692.14
"Yes","Male",40,"FR","No",34710.06,1328.89
"No","Male",41,"IT","Yes",21726.56,531.48
"No","Male",39,"DE","Yes",21726.56,531.48
"No","Male",42,"UK","No",54143.96,107.28
"No","Female",44,"IT","No",37458.88,1020.07
"No","Male",38,"UK","Yes",20767.68,754.42
"No","Female",40,"IT","No",41755.4,697.56
"No","Male",33,"UK","No",55604.61,89.13
"No","Male",39,"IT","No",40711.8,905.04
"No","Male",36,"FR","No",48739.93,1229.74
"No","Male",36,"UK","No",27205.86,775.63
"No","Male",41,"GE","No",25173.62,1217.32
"No","Male",41,"DE","No",38186.52,2.29
"No","Male",37,"UK","No",38186.52,2.29
"No","Female",34,"FR","Yes",11102.53,1544.14
"Yes","Male",30,"FR","No",30488.98,1700.6
"No","Female",38,"UK","No",22803.74,620.34
"No","Male",41,"UK","Yes",18402.46,1890.17
"No","Male",45,"FR","No",54956.99,618.53
"No","Male",47,"GR","No",27466.89,1111.09
"No","Male",37,"GE","No",27466.89,1111.09
"No","Male",34,"DE","No",45881.93,864.04
"No","Male",48,"FR","No",25221.64,13.68
"No","Male",39,"SP","No",25553.26,480.32
"No","Male",40,"GE","No",29507.31,5
"No","Male",38,"GE","No",29507.31,5
"No","Male",39,"GE","Yes",17916.86,1221.97
"No","Male",35,"UK","Yes",27512.34,478.57
"No","Male",43,"FR","No",36887.44,1184.43
"No","Male",41,"GE","No",36887.44,1184.43
"No","Male",32,"GE","No",36887.44,1184.43
"No","Male",39,"UK","No",36887.44,1184.43
"Yes","Male",33,"GE","Yes",21848.44,1118.7
"Yes","Female",38,"UK","No",37224.57,1119.1
"No","Male",43,"GE","No",31329.48,776.35
"No","Male",39,"FR","No",31329.48,776.35
"No","Male",50,"FR","No",51792.4,1322.3
"No","Male",48,"GE","No",18153.84,1101.15
"No","Male",47,"FR","No",32842.65,1126.22
"No","Male",43,"GE","No",32842.65,1126.22
"No","Male",37,"DE","No",21792.32,605.22
"No","Male",40,"SP","Yes",19937.1,1275.02
"No","Male",43,"FR","Yes",23538.94,1290.28
"No","Male",39,"SP","Yes",12453.36,1134.17
"No","Male",47,"IT","Yes",9582.94,1695.36
"No","Male",38,"GR","No",26074.93,1394.8
"Yes","Female",41,"FR","No",28127.9,1981.45
"No","Female",36,"UK","No",38613.62,5
"No","Male",47,"SP","Yes",26046.77,1515.15
"No","Male",38,"PO","No",41389.44,5
"No","Male",37,"FR","No",39367.19,742.29
"No","Male",36,"IT","Yes",13013.61,1110.1
"No","Male",40,"GE","No",49440.4,771.55
"No","Female",44,"PO","No",42492.75,624.34
"No","Female",43,"DE","No",38215.68,415.99
"No","Male",40,"FR","Yes",9271.79,836.02
"No","Female",38,"FR","Yes",25091.46,804.54
"No","Male",38,"FR","Yes",27724.07,798.46
"No","Female",34,"GE","No",61580.03,761.06
"No","Male",39,"UK","No",40804.48,779.66
"Yes","Male",33,"DE","No",38408.89,1717.07
"No","Male",37,"SP","No",44717.01,1092.35
"No","Male",45,"GE","No",35146.8,497.33
"Yes","Male",34,"GE","No",58699.98,1465.21
"No","Male",38,"GR","No",54091.62,596.89
"No","Female",51,"IT","Yes",16093.28,738.39
"No","Female",43,"UK","No",54419.81,1157.86
"No","Female",43,"SP","No",45149.52,1213.24
"No","Female",36,"GE","No",45149.52,1213.24
"No","Male",37,"IT","No",56520.96,588.31
"No","Male",33,"GE","No",56520.96,588.31
"No","Female",36,"GE","No",43843.47,680.82
"No","Male",47,"GE","No",43843.47,680.82
"No","Female",39,"DE","No",33655.57,337.76
"No","Female",42,"IT","No",48219.59,790.59
"No","Male",44,"SP","No",48219.59,790.59
"Yes","Male",34,"SP","No",46227.07,1763.58
"No","Male",44,"GR","No",33723.99,197.99
"Yes","Male",38,"FR","Yes",15975.54,1770.97
"No","Male",41,"FR","Yes",17037.05,639.37
"No","Male",39,"FR","No",34914.28,1063.77
"No","Male",40,"IT","No",34914.28,1063.77
"No","Male",42,"SP","No",38018.15,758.47
"No","Male",42,"DE","No",18510.95,972.03
"No","Male",52,"GE","No",49488.56,679.07
"No","Female",51,"FR","No",27882.81,1115.82
"No","Female",35,"FR","No",26372.99,955.14
"No","Male",37,"UK","No",26372.99,955.14
