date,sales
2013-01,4398
2013-02,4887
2013-03,6128
2013-04,6137
2013-05,6661
2013-06,6418
2013-07,7408
2013-08,8122
2013-09,6507
2013-10,7634
2013-11,6936
2013-12,6422
2014-01,6086
2014-02,5218
2014-03,7355
2014-04,6883
2014-05,8645
2014-06,8000
2014-07,8228
2014-08,6508
2014-09,6635
2014-10,6617
2014-11,5351
2014-12,5852
2015-01,5602
2015-02,5114
2015-03,6021
2015-04,6307
2015-05,6426
2015-06,6416
2015-07,6392
2015-08,5953
2015-09,5652
2015-10,6451
2015-11,5986
2015-12,6768
2016-01,7456
2016-02,6424
2016-03,6525
2016-04,6466
2016-05,7155
2016-06,6238
2016-07,6143
2016-08,6674
2016-09,6638
2016-10,6705
2016-11,6381
2016-12,6859
2017-01,7768
2017-02,5748
2017-03,7617
2017-04,6967
2017-05,7081
2017-06,7626
