Observation,Resistance,Cement,Gravel,Additives,Water,Sand
1,212.9,250.83,854.17,2498.92,230.08,888.67
2,207.3,261.75,719.25,2626.25,235.07,954.88
3,222.1,250.33,839.00,2514.83,224.88,878.83
4,270.9,249.00,853.80,2463.90,223.95,895.60
5,248.3,251.33,862.17,2498.92,228.98,882.50
6,284.4,292.00,731.64,2917.09,232.05,920.18
7,217.9,251.83,893.00,2514.83,227.57,883.83
8,171.9,214.77,857.08,2145.08,221.85,906.31
9,226.4,248.00,854.57,2469.36,222.07,894.00
10,254.6,303.29,791.29,3042.36,239.31,888.57
11,274.5,303.57,780.00,3042.36,240.32,899.86
12,233.4,257.00,733.43,2578.50,227.97,988.57
13,255.4,251.50,856.17,2514.83,223.81,872.50
14,218.6,252.50,854.33,2498.92,224.21,875.83
15,221.4,251.50,860.33,2514.83,223.76,874.67
16,185.3,222.40,859.80,2234.70,230.98,897.00
17,323.3,346.57,779.57,3478.93,233.15,852.71
18,323.3,347.57,774.29,3465.29,232.08,843.71
19,307,346.43,790.86,3478.93,234.16,850.00
20,335.3,346.86,796.43,3478.93,233.52,843.57
21,319,319.60,865.20,2807.70,221.49,875.00
22,292.1,281.83,845.50,2785.42,221.27,872.00
23,256.8,251.33,855.17,2498.92,221.65,883.83
24,256.1,294.43,852.57,2946.86,237.17,822.14
25,247.6,256.29,732.14,2578.50,228.58,979.14
26,297.8,293.71,749.14,2919.57,230.66,919.29
27,273.7,275.67,743.50,2769.50,229.27,955.17
28,234.1,247.67,882.17,2467.08,219.61,886.50
29,215.7,245.83,865.33,2467.08,218.16,904.50
30,221.4,248.40,862.93,2470.27,218.62,906.00
31,244,215.87,854.27,2151.93,215.50,931.60
32,286.5,280.43,876.71,2796.79,222.99,863.71
33,263.8,280.43,876.43,2796.79,222.37,858.86
34,336.7,348.86,795.71,3478.93,233.31,855.71
35,221.4,257.60,753.00,2578.50,228.19,973.60
36,269.5,292.14,793.14,2919.57,227.43,924.57
37,252.5,292.67,771.00,2912.75,230.89,928.17
38,173.3,216.00,873.00,2158.30,221.19,907.20
39,244,247.71,874.43,2469.36,220.66,889.43
40,199.5,241.00,905.71,2401.14,213.60,878.14
41,263.8,287.29,754.00,2865.00,227.60,935.57
42,203,246.00,876.00,2469.36,221.14,883.71
43,261.7,287.00,750.57,2865.00,228.64,949.29
44,206.5,242.50,870.17,2419.33,220.33,890.50
45,207.3,241.86,877.29,2414.79,220.76,899.14
46,236.3,243.33,857.83,2419.33,220.36,894.17
47,255.4,246.71,874.57,2455.71,224.31,877.29
48,229.2,251.60,743.00,2521.20,224.61,991.60
49,211.5,241.20,880.00,2425.70,219.80,903.00
50,159.2,213.60,869.40,2139.20,222.39,916.00
51,162.7,209.85,863.08,2101.00,221.03,916.31
52,318.3,335.60,810.20,3361.60,228.46,861.60
53,268.8,284.14,880.71,2837.71,230.53,826.14
54,227.8,242.67,855.67,2419.33,215.95,914.67
55,198.1,250.57,873.29,2496.64,230.87,862.14
56,203,250.14,874.71,2496.64,231.18,876.86
57,280.8,275.29,870.43,2742.21,223.80,870.71
58,203.7,252.29,757.00,2510.29,227.26,983.57
59,189.6,246.57,877.14,2455.71,227.97,878.14
60,339.5,334.29,821.57,3328.86,228.09,874.57
61,263.1,271.88,872.13,2709.81,220.95,872.88
62,266,273.50,869.88,2721.75,220.95,860.38
63,262.4,271.71,882.29,2714.93,230.90,872.14
64,157.7,213.75,717.63,2136.81,218.05,1037.00
65,193.8,246.57,865.29,2469.36,235.91,856.71
66,225.6,240.36,857.64,2378.82,219.47,897.82
67,212.9,239.27,859.64,2396.18,219.41,900.91
68,165.5,206.77,859.85,2071.62,220.58,907.08
69,339.5,333.71,792.57,3328.86,228.07,871.14
70,218.6,249.14,741.57,2496.64,227.09,980.57
71,256.8,283.86,764.86,2837.71,233.17,920.14
72,239.1,239.45,877.09,2396.18,215.70,903.82
73,228.5,249.29,761.71,2496.64,222.52,1002.86
74,215.7,213.14,728.43,2128.29,218.77,1049.14
75,188.9,238.36,866.00,2396.18,220.98,896.91
76,214.3,250.14,744.71,2483.00,228.22,992.14
77,219.3,248.86,737.86,2496.64,228.33,975.29
78,252.5,282.57,877.86,2810.43,230.53,824.57
79,282.9,281.86,907.71,2824.07,230.50,825.71
80,162,213.86,740.29,2128.29,223.99,1034.29
81,201.6,248.71,738.86,2483.00,232.00,967.57
82,256.8,201.25,843.00,1997.50,226.47,949.75
83,176.8,210.93,710.93,2105.60,236.58,1016.67
84,309.1,268.43,740.14,2685.71,233.47,951.29
85,185.3,165.00,846.33,1629.33,215.47,976.67
86,264.6,243.13,851.50,1868.25,163.00,1036.25
87,256.8,242.88,727.63,2432.25,237.24,965.25
88,279.4,290.75,533.00,1410.00,148.50,1137.75
89,294.3,257.86,750.43,1712.00,121.29,1039.57
90,234.1,254.92,854.62,2241.54,228.54,1012.00
91,235.5,201.00,850.80,1992.80,225.85,935.00
92,291.4,233.38,728.62,2342.77,224.99,1021.38
93,302,281.00,741.57,2806.57,237.68,943.71
94,287.2,282.00,737.71,2806.57,237.82,950.43
95,268.8,241.57,855.29,1866.57,152.43,1053.57
96,267.4,241.50,855.00,1864.33,152.33,1047.67
97,258.9,282.43,745.86,2806.57,240.56,912.14
98,285.8,257.43,748.71,1712.00,132.71,1011.71
99,306.3,259.57,747.43,1712.00,131.43,1010.86
100,162.7,161.71,846.00,1611.43,217.86,1001.43
101,262.4,241.29,725.43,2390.29,239.31,985.00
102,295.7,224.29,853.57,2242.57,225.11,910.14
103,229.9,256.33,757.67,1712.00,132.67,1021.67
104,218.6,206.36,706.00,2068.00,234.19,1039.27
105,275.9,230.31,720.46,2299.38,227.35,1019.69
106,174.7,196.18,856.91,1965.45,234.62,908.91
107,187.4,211.00,851.50,1891.75,227.54,1004.00
108,176.1,158.00,850.29,1611.43,218.47,981.14
109,304.2,256.29,747.57,1712.00,140.29,999.29
110,308.4,278.71,745.29,1712.00,135.86,1074.57
111,261,245.00,929.63,2220.75,228.59,901.13
112,185.3,180.00,896.40,1804.80,222.15,921.40
113,229.2,183.00,891.33,1817.33,216.31,931.67
114,205.8,183.00,893.00,1833.00,217.51,917.50
115,275.2,276.50,636.50,1363.00,142.00,1123.00
116,208.7,180.33,894.67,1817.33,220.86,919.67
117,239.8,198.63,743.63,1997.50,235.72,994.75
118,230.6,184.00,905.00,1833.00,225.71,922.50
119,257.5,313.33,572.00,1441.33,134.00,1139.33
120,230.6,182.50,891.25,1809.50,220.87,903.88
121,313.4,251.00,826.50,1269.00,114.50,924.00
122,228.5,222.40,757.07,2230.93,230.34,971.33
123,263.8,253.29,778.86,2524.57,237.03,1004.86
124,278.7,252.14,779.57,2538.00,230.87,962.57
125,206.5,213.73,889.47,2130.67,217.39,930.93
126,285.8,243.60,770.80,1730.80,120.80,1013.60
127,203,214.27,892.00,2130.67,220.82,895.33
128,264.6,212.20,893.80,2124.40,218.81,901.80
129,211.5,231.88,856.00,1868.25,140.00,1069.50
130,255.4,207.00,892.20,2086.80,213.81,913.40
131,111.8,190.00,887.00,1927.00,225.87,918.50
132,147.8,182.75,886.25,1809.50,216.02,934.50
133,111.1,154.80,890.80,1579.20,221.58,946.00
134,176.1,178.00,891.33,1786.00,218.75,948.33
135,250.4,211.00,889.00,2115.00,221.01,905.50
136,255.4,280.25,749.75,1386.50,106.38,991.00
