EFFICIENCY,IDLE,POWER,DAIMLER,YEARS
2.722,17.27,43.00,0,2
2.954,19.47,40.03,0,2
3.164,16.81,28.49,1,5
2.902,24.03,41.90,0,5
2.921,35.86,37.96,0,5
3.186,22.65,23.97,1,5
2.816,34.69,20.97,1,4
2.541,26.06,43.96,0,5
2.974,19.34,41.96,0,2
3.485,19.03,22.04,1,4
2.717,36.08,21.00,1,6
3.422,14.21,27.02,1,5
3.336,21.13,22.03,1,4
3.087,17.98,27.45,1,4
2.807,14.57,24.96,1,6
2.788,28.26,42.00,0,2
2.871,19.89,23.59,1,4
2.662,29.04,24.54,1,4
2.523,30.41,44.03,0,5
2.906,26.34,24.58,1,5
3.306,16.59,26.06,1,4
3.146,19.56,25.09,1,4
2.803,26.41,23.05,1,6
2.816,16.82,44.01,0,2
3.079,37.77,18.96,1,5
3.132,19.08,41.05,0,2
3.061,14.46,41.96,0,4
2.875,22.39,39.93,0,1
2.947, 8.58,33.98,1,5
2.880,32.74,21.99,1,4
2.599,25.29,24.98,1,5
3.089,19.09,25.05,1,6
3.018,24.64,20.45,1,6
3.026,14.30,23.01,1,6
2.499,29.10,27.41,1,6
2.647,24.41,25.50,1,5
3.093,36.89,17.52,1,4
2.835,18.79,31.01,1,5
2.793,27.26,20.01,1,5
2.735,30.50,42.85,0,2
2.715,19.31,26.97,1,5
2.911,27.17,19.60,1,4
2.677,34.99,21.48,1,5
3.192,23.32,23.10,1,4
3.495,12.05,24.53,1,5
2.816,29.34,21.98,1,5
2.651,19.93,43.99,0,3
3.104,18.73,39.03,0,3
3.207,41.05,16.44,1,5
2.798,15.00,44.96,0,2
3.035,23.19,23.49,1,4
2.902,14.83,42.97,0,3
2.919,13.07,26.50,1,5
3.032,39.83,17.44,1,4
2.822,15.29,45.02,0,3
2.815,15.05,43.93,0,2
2.948,29.15,20.57,1,6
3.244,14.91,27.52,1,4
2.932,29.45,23.53,1,5
3.094,13.83,41.87,0,3
2.573,36.35,42.00,0,3
3.017,32.67,39.98,0,2
3.127,18.50,40.06,0,3
3.327,12.19,27.41,1,4
3.770,14.81,23.52,1,5
2.703,21.70,40.10,0,4
2.739,36.67,17.01,1,4
2.797,19.70,27.98,1,4
2.808,16.55,29.53,1,5
2.950,39.54,18.54,1,4
3.162,18.03,38.01,0,4
2.941,13.73,41.99,0,2
3.422,31.11,16.98,1,4
2.848,29.57,21.48,1,5
2.612,27.18,42.08,0,2
3.065,28.30,39.00,0,3
3.058,15.64,27.53,1,5
3.505,14.40,36.01,0,4
2.817,13.47,43.96,0,2
2.775,31.59,41.92,0,5
2.623,18.16,46.07,0,2
3.203,13.60,24.49,1,5
2.826,31.96,40.98,0,5
3.100,25.80,23.06,1,4
2.901,30.01,20.01,1,6
2.729,22.82,40.99,0,2
3.180,11.04,39.96,0,3
2.668,32.80,20.96,1,4
2.842,42.29,18.05,1,4
2.794,23.76,38.11,0,3
2.953,25.84,22.00,1,4
2.754,20.82,43.04,0,2
2.962,26.07,42.99,0,3
2.657,33.28,43.00,0,4
2.785,21.70,24.42,1,6
3.137,15.67,27.57,1,4
3.047,20.41,41.03,0,3
2.666,24.99,44.06,0,4
2.772,17.28,45.05,0,2
3.139,22.42,25.01,1,4
2.772,20.65,44.08,0,2
3.102,23.82,25.11,1,4
2.638,30.16,22.95,1,5
2.773, 8.71,44.91,0,2
2.692,17.08,44.09,0,2
2.742,23.82,44.94,0,2
2.833,24.27,23.96,1,4
2.619,37.45,24.05,1,5
3.238,16.42,24.45,1,4
2.809,35.94,21.01,1,4
3.303,13.16,27.07,1,4
2.851,24.67,43.02,0,2
3.447,20.15,22.06,1,5
2.833,16.32,42.97,0,2
2.645, 9.73,31.54,1,5
2.732,31.52,42.01,0,5
2.789,31.07,42.08,0,2
2.562,21.60,28.49,1,4
3.105,46.76,14.60,1,4
3.021,24.56,24.04,1,5
2.958,16.66,39.00,0,4
2.735,58.97,11.49,1,4
3.227,19.64,20.01,1,4
2.838,20.33,43.02,0,2
2.875,15.42,43.02,0,2
3.280,14.73,24.07,1,4
3.052,16.41,28.48,1,5
2.852,22.78,44.06,0,2
3.297,21.98,22.06,1,5
2.954,26.99,18.55,1,6
3.027,13.24,42.02,0,2
3.033,51.91,14.03,1,5
2.971,25.55,43.08,0,3
2.826,30.22,18.07,1,5
2.969,36.16,21.02,1,4
2.933,17.29,41.00,0,2
3.332,24.78,17.98,1,6
2.859,40.65,43.06,0,4
3.196,10.86,42.04,0,2
2.970,44.03,23.06,1,4
3.857, 9.58,23.61,1,4
3.094,25.15,21.00,1,4
